noun,adj,distance,noun,adv,distance,noun,verb,distance
(วันที่ - NOUN),(แจ่มใส - ADJ),1,(ทันเวลา - NOUN),(มาก - ADV),12,(การ - NOUN),(เดินทาง - VERB),0
(วันที่ - NOUN),(สวย - ADJ),4,(แหลม - NOUN),(มาก - ADV),7,(การ - NOUN),(พัก - VERB),4
(อากาศ - NOUN),(แจ่มใส - ADJ),0,(พระอาทิตย์ - NOUN),(มาก - ADV),4,(คุณ - NOUN),(พัก - VERB),0
(อากาศ - NOUN),(สวย - ADJ),3,(การ - NOUN),(เช่นกัน - ADV),6,(คุณ - NOUN),(มี - VERB),0
(วิว - NOUN),(สวย - ADJ),0,(สถานที่ - NOUN),(ใกล้ - ADV),3,(คุณ - NOUN),(เป็น - VERB),3
(การ - NOUN),(พิเศษ - ADJ),1,(คุณ - NOUN),(ใกล้ - ADV),1,(คุณ - NOUN),(น่ารัก - VERB),6
(การ - NOUN),(แหลม - ADJ),3,(เวลา - NOUN),(ที่สุด - ADV),2,(คุณ - NOUN),(หยุด - VERB),9
(คุณ - NOUN),(สวยงาม - ADJ),4,(ขับรถ - NOUN),(ประมาณ - ADV),0,(เวลา - NOUN),(เป็น - VERB),1
(ภาพ - NOUN),(สวยงาม - ADJ),1,(วัด - NOUN),(ที่สุด - ADV),7,(เวลา - NOUN),(น่ารัก - VERB),4
(สถานที่ - NOUN),(โปรด - ADJ),0,(วัด - NOUN),(ไว้ - ADV),10,(เวลา - NOUN),(หยุด - VERB),7
(มุมมอง - NOUN),(เป็นบ้า - ADJ),7,(วัด - NOUN),(บาง - ADV),26,(สถานที่ - NOUN),(น่ารัก - VERB),1
(พื้นที่ - NOUN),(เป็นบ้า - ADJ),2,(ธารา - NOUN),(ที่สุด - ADV),5,(สถานที่ - NOUN),(หยุด - VERB),4
(น้ำ - NOUN),(เป็นบ้า - ADJ),0,(ธารา - NOUN),(ไว้ - ADV),8,(ทันเวลา - NOUN),(มา - VERB),2
(บรรยากาศ - NOUN),(ดี - ADJ),0,(ธารา - NOUN),(บาง - ADV),24,(ทันเวลา - NOUN),(ดู - VERB),6
(สถานที่ - NOUN),(สวยงาม - ADJ),0,(วัด - NOUN),(ที่สุด - ADV),2,(ทันเวลา - NOUN),(ตก - VERB),8
(ฝูงชน - NOUN),(มาก - ADJ),1,(วัด - NOUN),(ไว้ - ADV),5,(ทันเวลา - NOUN),(ยอดเยี่ยม - VERB),11
(ฝูงชน - NOUN),(ส่วนใหญ่ - ADJ),2,(วัด - NOUN),(บาง - ADV),21,(แหลม - NOUN),(ดู - VERB),1
(จำนวน - NOUN),(มาก - ADJ),0,(จังหวัด - NOUN),(บาง - ADV),13,(แหลม - NOUN),(ตก - VERB),3
(จำนวน - NOUN),(ส่วนใหญ่ - ADJ),1,(สถานที่ - NOUN),(บาง - ADV),10,(แหลม - NOUN),(ยอดเยี่ยม - VERB),6
(รูป - NOUN),(ดัง - ADJ),16,(จิตวิญญาณ - NOUN),(บาง - ADV),8,(พระอาทิตย์ - NOUN),(ตก - VERB),0
(หันหลัง - NOUN),(ดัง - ADJ),15,(คุณ - NOUN),(บาง - ADV),6,(พระอาทิตย์ - NOUN),(ยอดเยี่ยม - VERB),3
(ดวงอาทิตย์ - NOUN),(ดัง - ADJ),4,(ประเพณี - NOUN),(บาง - ADV),0,(มุมมอง - NOUN),(ยอดเยี่ยม - VERB),1
(เสียง - NOUN),(ดัง - ADJ),0,(ครั้ง - NOUN),(หลาย - ADV),1,(การ - NOUN),(ขี่ - VERB),0
(จุด - NOUN),(ลับ - ADJ),0,(จุด - NOUN),(เกินไป - ADV),20,(การ - NOUN),(ไป - VERB),1
(วิว - NOUN),(สวย - ADJ),0,(พายุ - NOUN),(เกินไป - ADV),13,(การ - NOUN),(ยอดเยี่ยม - VERB),5
(คน - NOUN),(ดี - ADJ),9,(คลื่น - NOUN),(เกินไป - ADV),9,(สถานที่ - NOUN),(อยู่ - VERB),2
(ช่วง - NOUN),(ดี - ADJ),2,(วิธี - NOUN),(เกินไป - ADV),6,(คุณ - NOUN),(อยู่ - VERB),0
(วันหยุด - NOUN),(ดี - ADJ),1,(คุณ - NOUN),(เกินไป - ADV),4,(เวลา - NOUN),(ดี - VERB),1
(เวลา - NOUN),(ดี - ADJ),0,(คุณ - NOUN),(เกินไป - ADV),2,(เวลา - NOUN),(ตก - VERB),5
(คน - NOUN),(ส่วนใหญ่ - ADJ),0,(บรรยากาศ - NOUN),(มาก - ADV),1,(พระอาทิตย์ - NOUN),(ตก - VERB),0
(ที่จอดรถ - NOUN),(น้อย - ADJ),0,(จุด - NOUN),(ทะเลอันดามัน - ADV),4,(สถานที่ - NOUN),(แออัด - VERB),1
(เวลา - NOUN),(บวก - ADJ),15,(วิว - NOUN),(ทะเลอันดามัน - ADV),2,(การ - NOUN),(เยี่ยม - VERB),0
(พระอาทิตย์ - NOUN),(บวก - ADJ),14,(กังหันลม - NOUN),(ทะเลอันดามัน - ADV),1,(การ - NOUN),(ชม - VERB),1
(ช่วงเวลา - NOUN),(บวก - ADJ),9,(ที่จอดรถ - NOUN),(ดี - ADV),2,(มอเตอร์ไซค์ - NOUN),(หยุด - VERB),1
(แรงบันดาลใจ - NOUN),(บวก - ADJ),3,(ที่จอดรถ - NOUN),(เยี่ยม - ADV),4,(มอเตอร์ไซค์ - NOUN),(จุด - VERB),3
(อารมณ์ - NOUN),(บวก - ADJ),1,(เยอะ - NOUN),(ดี - ADV),1,(มอเตอร์ไซค์ - NOUN),(ชม - VERB),4
(เชิง - NOUN),(บวก - ADJ),0,(เยอะ - NOUN),(เยี่ยม - ADV),3,(มอเตอร์ไซค์ - NOUN),(ไป - VERB),12
(กรณี - NOUN),(หนาแน่น - ADJ),10,(จุด - NOUN),(ที่สุด - ADV),2,(วิว - NOUN),(ไป - VERB),6
(คุณ - NOUN),(หนาแน่น - ADJ),8,(ฝูงชน - NOUN),(ค่อนข้าง - ADV),8,(คา - NOUN),(ไป - VERB),5
(พระอาทิตย์ - NOUN),(หนาแน่น - ADJ),5,(ความคิด - NOUN),(ค่อนข้าง - ADV),3,(รอน - NOUN),(ไป - VERB),4
(ถนน - NOUN),(หนาแน่น - ADJ),0,(สถานที่ - NOUN),(อื่นๆ - ADV),1,(หาด - NOUN),(ไป - VERB),2
(มุมมอง - NOUN),(ใกล้เคียง - ADJ),7,(จุด - NOUN),(อยู่ - ADV),3,(หาน - NOUN),(ไป - VERB),0
(ทาส - NOUN),(ใกล้เคียง - ADJ),3,(วิว - NOUN),(สุด - ADV),3,(พระอาทิตย์ - NOUN),(ตก - VERB),0
(ชายหาด - NOUN),(ใกล้เคียง - ADJ),0,(บน - NOUN),(สุด - ADV),0,(พระอาทิตย์ - NOUN),(มอง - VERB),3
(ร้านค้า - NOUN),(มากมาย - ADJ),2,(ดวงอาทิตย์ - NOUN),(โดยตรง - ADV),3,(พระอาทิตย์ - NOUN),(ผ่าน - VERB),4
(ร้านกาแฟ - NOUN),(มากมาย - ADJ),0,(การท่องเที่ยว - NOUN),(ทุก - ADV),4,(น่าตื่นตาตื่นใจ - NOUN),(มอง - VERB),0
(คน - NOUN),(น้อย - ADJ),0,(จังหวัด - NOUN),(ทุก - ADV),2,(น่าตื่นตาตื่นใจ - NOUN),(ผ่าน - VERB),1
(จำนวน - NOUN),(นักท่องเที่ยว - ADJ),0,(คน - NOUN),(มาก - ADV),2,(วัด - NOUN),(เป็น - VERB),3
(จำนวน - NOUN),(มากมาย - ADJ),9,(จุด - NOUN),(ลง - ADV),3,(วัด - NOUN),(ดี - VERB),6
(สถานที่ - NOUN),(มากมาย - ADJ),5,(จุด - NOUN),(ได้ - ADV),4,(วัด - NOUN),(เก็บรักษา - VERB),9
(แห่ง - NOUN),(มากมาย - ADJ),4,(บรรยากาศ - NOUN),(ทุก - ADV),13,(วัด - NOUN),(เป็น - VERB),14
(มุมมอง - NOUN),(มากมาย - ADJ),0,(บรรยากาศ - NOUN),(ที่สุด - ADV),28,(วัด - NOUN),(เพลิดเพลิน - VERB),21
(ที่จอดรถ - NOUN),(มากมาย - ADJ),0,(โรแมนติก - NOUN),(ทุก - ADV),9,(วัด - NOUN),(สัมผัส - VERB),23
(ที่จอดรถ - NOUN),(มากมาย - ADJ),3,(โรแมนติก - NOUN),(ที่สุด - ADV),24,(วัด - NOUN),(มี - VERB),31
(พื้นที่ - NOUN),(มากมาย - ADJ),0,(แหลม - NOUN),(ทุก - ADV),4,(วัด - NOUN),(ได้รับ - VERB),36
(มุมมอง - NOUN),(แหลม - ADJ),1,(แหลม - NOUN),(ที่สุด - ADV),19,(ธารา - NOUN),(เป็น - VERB),1
(ครั้ง - NOUN),(งดงาม - ADJ),5,(พรหม - NOUN),(ทุก - ADV),3,(ธารา - NOUN),(ดี - VERB),4
(ความสุข - NOUN),(งดงาม - ADJ),2,(พรหม - NOUN),(ที่สุด - ADV),18,(ธารา - NOUN),(เก็บรักษา - VERB),7
(ความ - NOUN),(งดงาม - ADJ),0,(เทพ - NOUN),(ทุก - ADV),2,(ธารา - NOUN),(เป็น - VERB),12
(คุณ - NOUN),(ดี - ADJ),17,(เทพ - NOUN),(ที่สุด - ADV),17,(ธารา - NOUN),(เพลิดเพลิน - VERB),19
(วัน - NOUN),(ดี - ADJ),12,(คน - NOUN),(ที่สุด - ADV),13,(ธารา - NOUN),(สัมผัส - VERB),21
(จุด - NOUN),(ดี - ADJ),9,(ภูมิทัศน์ - NOUN),(ที่สุด - ADV),9,(ธารา - NOUN),(มี - VERB),29
(ตอนเย็น - NOUN),(ดี - ADJ),4,(วิว - NOUN),(ที่สุด - ADV),2,(ธารา - NOUN),(ได้รับ - VERB),34
(พระอาทิตย์ - NOUN),(ดี - ADJ),2,(เวลา - NOUN),(ที่สุด - ADV),8,(วัด - NOUN),(ดี - VERB),1
(ตกดิน - NOUN),(ดี - ADJ),1,(เวลา - NOUN),(ลึกซึ้ง - ADV),17,(วัด - NOUN),(เก็บรักษา - VERB),4
(บรรยากาศ - NOUN),(ดี - ADJ),0,(พระอาทิตย์ - NOUN),(ที่สุด - ADV),7,(วัด - NOUN),(เป็น - VERB),9
(มากมาย - NOUN),(เล็ก - ADJ),2,(พระอาทิตย์ - NOUN),(ลึกซึ้ง - ADV),16,(วัด - NOUN),(เพลิดเพลิน - VERB),16
(แผงลอย - NOUN),(เล็ก - ADJ),0,(ช่วงเวลา - NOUN),(ที่สุด - ADV),2,(วัด - NOUN),(สัมผัส - VERB),18
(ข้างนอก - NOUN),(ข้างถนน - ADJ),2,(ช่วงเวลา - NOUN),(ลึกซึ้ง - ADV),11,(วัด - NOUN),(มี - VERB),26
(อาหาร - NOUN),(ข้างถนน - ADJ),0,(แรงบันดาลใจ - NOUN),(ลึกซึ้ง - ADV),5,(วัด - NOUN),(ได้รับ - VERB),31
(คุณภาพ - NOUN),(ด้านนอก - ADJ),0,(อารมณ์ - NOUN),(ลึกซึ้ง - ADV),3,(จังหวัด - NOUN),(เป็น - VERB),1
(คุณภาพ - NOUN),(หลัก - ADJ),2,(เชิง - NOUN),(ลึกซึ้ง - ADV),2,(จังหวัด - NOUN),(เพลิดเพลิน - VERB),8
(คุณภาพ - NOUN),(เล็ก - ADJ),5,(ด้าน - NOUN),(เพียง - ADV),5,(จังหวัด - NOUN),(สัมผัส - VERB),10
(ทางเข้า - NOUN),(หลัก - ADJ),0,(ด้าน - NOUN),(ยี่ - ADV),6,(จังหวัด - NOUN),(มี - VERB),18
(ทางเข้า - NOUN),(เล็ก - ADJ),3,(เวลา - NOUN),(เพียง - ADV),4,(จังหวัด - NOUN),(ได้รับ - VERB),23
(ร้านกาแฟ - NOUN),(เล็ก - ADJ),0,(เวลา - NOUN),(ยี่ - ADV),5,(สถานที่ - NOUN),(เพลิดเพลิน - VERB),5
(พระอาทิตย์ - NOUN),(สวยงาม - ADJ),2,(เวลา - NOUN),(เพียง - ADV),0,(สถานที่ - NOUN),(สัมผัส - VERB),7
(วิว - NOUN),(สวย - ADJ),2,(เวลา - NOUN),(ยี่ - ADV),1,(สถานที่ - NOUN),(มี - VERB),15
(ด้านบน - NOUN),(สวย - ADJ),0,(วิว - NOUN),(มาก - ADV),7,(สถานที่ - NOUN),(ได้รับ - VERB),20
(ความสุข - NOUN),(สั้น - ADJ),4,(พระอาทิตย์ - NOUN),(มาก - ADV),6,(จิตวิญญาณ - NOUN),(เพลิดเพลิน - VERB),3
(การ - NOUN),(สั้น - ADJ),2,(ที่ - NOUN),(มาก - ADV),3,(จิตวิญญาณ - NOUN),(สัมผัส - VERB),5
(ระยะ - NOUN),(สั้น - ADJ),0,(มุมมอง - NOUN),(แน่นอน - ADV),7,(จิตวิญญาณ - NOUN),(มี - VERB),13
(คุณ - NOUN),(สวยงาม - ADJ),6,(แหลม - NOUN),(แน่นอน - ADV),5,(จิตวิญญาณ - NOUN),(ได้รับ - VERB),18
(มุมมอง - NOUN),(สวยงาม - ADJ),3,(พรหม - NOUN),(แน่นอน - ADV),4,(คุณ - NOUN),(เพลิดเพลิน - VERB),1
(วิว - NOUN),(โปรด - ADJ),1,(เทพ - NOUN),(แน่นอน - ADV),3,(คุณ - NOUN),(สัมผัส - VERB),3
(ทาง - NOUN),(ลาดชัน - ADJ),0,(วิว - NOUN),(มาก - ADV),4,(คุณ - NOUN),(มี - VERB),11
(โรงแรม - NOUN),(ใกล้เคียง - ADJ),8,(พระอาทิตย์ - NOUN),(มาก - ADV),3,(คุณ - NOUN),(ได้รับ - VERB),16
(บริเวณ - NOUN),(ใกล้เคียง - ADJ),0,(ตกดิน - NOUN),(มาก - ADV),2,(ประเพณี - NOUN),(มี - VERB),5
(กลุ่ม - NOUN),(มาก - ADJ),2,(กรณี - NOUN),(เร็ว - ADV),7,(ประเพณี - NOUN),(ได้รับ - VERB),10
(นักท่องเที่ยว - NOUN),(มาก - ADJ),1,(คุณ - NOUN),(เร็ว - ADV),5,(อย่าง - NOUN),(มี - VERB),3
(จำนวน - NOUN),(มาก - ADJ),0,(พระอาทิตย์ - NOUN),(เร็ว - ADV),2,(อย่าง - NOUN),(ได้รับ - VERB),8
(ที่มา - NOUN),(สวย - ADJ),7,(สถานที่ - NOUN),(ที่สุด - ADV),2,(พระสงฆ์ - NOUN),(มี - VERB),1
(วันที่ - NOUN),(สวย - ADJ),4,(ยา - NOUN),(ไวย์ - ADV),3,(พระสงฆ์ - NOUN),(ได้รับ - VERB),6
(แดด - NOUN),(สวย - ADJ),2,(พระอาทิตย์ - NOUN),(กว่า - ADV),3,(คุณ - NOUN),(ได้รับ - VERB),2
(วิว - NOUN),(สวย - ADJ),0,(คน - NOUN),(ลง - ADV),1,(โชคดี - NOUN),(ได้รับ - VERB),1
(ประเทศ - NOUN),(ดัง - ADJ),6,(คน - NOUN),(เช่นกัน - ADV),2,(คุณ - NOUN),(มี - VERB),1
(ประเทศ - NOUN),(เล็ก - ADJ),15,(เส้นทาง - NOUN),(มาก - ADV),2,(มุมมอง - NOUN),(น่าตื่นตาตื่นใจ - VERB),1
(รา - NOUN),(ดัง - ADJ),3,(ระหว่างทาง - NOUN),(มาก - ADV),1,(คุณ - NOUN),(ชอบ - VERB),0
(รา - NOUN),(เล็ก - ADJ),12,(คุณ - NOUN),(ที่นี่ - ADV),8,(คุณ - NOUN),(ผจญภัย - VERB),2
(เมือง - NOUN),(เล็ก - ADJ),1,(จักรยาน - NOUN),(ไป - ADV),10,(คุณ - NOUN),(เดิน - VERB),3
(ชายทะเล - NOUN),(เล็ก - ADJ),0,(แท็กซี่ - NOUN),(ไป - ADV),8,(คุณ - NOUN),(ออก - VERB),4
(กลุ่ม - NOUN),(ส่วนตัว - ADJ),14,(คุณ - NOUN),(ไป - ADV),5,(คุณ - NOUN),(ไป - VERB),5
(ความสุข - NOUN),(ส่วนตัว - ADJ),3,(เวลา - NOUN),(ไป - ADV),1,(การ - NOUN),(ผจญภัย - VERB),0
(เวลา - NOUN),(ส่วนตัว - ADJ),0,(จำนวน - NOUN),(มาก - ADV),15,(การ - NOUN),(เดิน - VERB),1
(คน - NOUN),(น้อย - ADJ),0,(สถานที่ - NOUN),(มาก - ADV),11,(การ - NOUN),(ออก - VERB),2
(สูงชัน - NOUN),(สวยงาม - ADJ),6,(แห่ง - NOUN),(มาก - ADV),10,(การ - NOUN),(ไป - VERB),3
(ทิวทัศน์ - NOUN),(สวยงาม - ADJ),1,(มุมมอง - NOUN),(มาก - ADV),6,(รองเท้า - NOUN),(ดี - VERB),1
(สถานที่ - NOUN),(สำคัญ - ADJ),0,(การ - NOUN),(มาก - ADV),3,(รองเท้า - NOUN),(ปลอดภัย - VERB),3
(อาหารทะเล - NOUN),(สด - ADJ),0,(เรื่อง - NOUN),(เล็กน้อย - ADV),1,(คุณ - NOUN),(มี - VERB),0
(อาหารทะเล - NOUN),(สวย - ADJ),1,(ทิวทัศน์ - NOUN),(มาก - ADV),4,(คุณ - NOUN),(ใช้ - VERB),4
(อาหารทะเล - NOUN),(สมเหตุสมผล - ADJ),3,(ที่นี่ - NOUN),(มาก - ADV),3,(คุณ - NOUN),(ใช้ - VERB),7
(ราคา - NOUN),(สมเหตุสมผล - ADJ),0,(ธรรมชาติ - NOUN),(บาง - ADV),2,(เงื่อนไข - NOUN),(ใช้ - VERB),2
(นักท่องเที่ยว - NOUN),(มาก - ADJ),1,(ธรรมชาติ - NOUN),(ที่นี่ - ADV),4,(เงื่อนไข - NOUN),(ใช้ - VERB),5
(จำนวน - NOUN),(มาก - ADJ),0,(อย่าง - NOUN),(ที่นี่ - ADV),0,(ทางการ - NOUN),(ใช้ - VERB),1
(พื้นที่ - NOUN),(เหลือเฟือ - ADJ),0,(พระอาทิตย์ - NOUN),(มาก - ADV),3,(ทางการ - NOUN),(ใช้ - VERB),4
(บรรยากาศ - NOUN),(ดี - ADJ),0,(คุณ - NOUN),(แน่นอน - ADV),7,(แพทย์ - NOUN),(ใช้ - VERB),0
(รูปปั้น - NOUN),(ช้าง - ADJ),0,(คุณ - NOUN),(แน่นอน - ADV),4,(แพทย์ - NOUN),(ใช้ - VERB),3
(สถานที่ - NOUN),(หนาแน่น - ADJ),2,(คุณ - NOUN),(บาง - ADV),2,(น้ำ - NOUN),(ใช้ - VERB),1
(ผู้คน - NOUN),(หนาแน่น - ADJ),0,(คุณ - NOUN),(มาก - ADV),4,(จุด - NOUN),(หยาบ - VERB),3
(วิหาร - NOUN),(เล็ก - ADJ),0,(สิ่ง - NOUN),(มาก - ADV),0,(จุด - NOUN),(มี - VERB),5
(จุด - NOUN),(ใกล้เคียง - ADJ),24,(รถ - NOUN),(ประมาณ - ADV),10,(จุด - NOUN),(เข้า - VERB),7
(วิว - NOUN),(ใกล้เคียง - ADJ),22,(ป่า - NOUN),(ประมาณ - ADV),7,(จุด - NOUN),(มา - VERB),8
(จุด - NOUN),(ใกล้เคียง - ADJ),16,(ตอง - NOUN),(ประมาณ - ADV),6,(จุด - NOUN),(ระวัง - VERB),9
(พระอาทิตย์ - NOUN),(ใกล้เคียง - ADJ),14,(ราคา - NOUN),(ประมาณ - ADV),0,(จุด - NOUN),(มี - VERB),12
(เครื่องดื่ม - NOUN),(ใกล้เคียง - ADJ),9,(คุณ - NOUN),(ยานพาหนะ - ADV),1,(จุด - NOUN),(ด้อม - VERB),14
(แผงขาย - NOUN),(ใกล้เคียง - ADJ),7,(คุณ - NOUN),(ตลอด - ADV),2,(จุด - NOUN),(เข้า - VERB),18
(ไอศ - NOUN),(ใกล้เคียง - ADJ),6,(คุณ - NOUN),(ทั้ง - ADV),3,(จุด - NOUN),(ใกล้ - VERB),19
(ครีม - NOUN),(ใกล้เคียง - ADJ),5,(จุด - NOUN),(เว้นแต่ - ADV),3,(พายุ - NOUN),(เข้า - VERB),0
(ที่นี่ - NOUN),(ใกล้เคียง - ADJ),4,(จุด - NOUN),(ที่สุด - ADV),32,(พายุ - NOUN),(มา - VERB),1
(ร้านอาหาร - NOUN),(ใกล้เคียง - ADJ),2,(สถานที่ - NOUN),(เว้นแต่ - ADV),1,(พายุ - NOUN),(ระวัง - VERB),2
(บริเวณ - NOUN),(ใกล้เคียง - ADJ),0,(สถานที่ - NOUN),(ที่สุด - ADV),30,(พายุ - NOUN),(มี - VERB),5
(ปัญหา - NOUN),(เดียว - ADJ),0,(คุณ - NOUN),(ที่สุด - ADV),26,(พายุ - NOUN),(ด้อม - VERB),7
(ตลาด - NOUN),(เล็ก - ADJ),0,(ภาคเหนือ - NOUN),(ที่สุด - ADV),22,(พายุ - NOUN),(เข้า - VERB),11
(น่ารัก - NOUN),(สมเหตุสมผล - ADJ),5,(หมดหวัง - NOUN),(ที่สุด - ADV),20,(พายุ - NOUN),(ใกล้ - VERB),12
(อาหารว่าง - NOUN),(สมเหตุสมผล - ADJ),3,(พระอาทิตย์ - NOUN),(ที่สุด - ADV),16,(คลื่น - NOUN),(มี - VERB),1
(สินค้า - NOUN),(สมเหตุสมผล - ADJ),1,(โหลด - NOUN),(ที่สุด - ADV),13,(คลื่น - NOUN),(ด้อม - VERB),3
(ราคา - NOUN),(สมเหตุสมผล - ADJ),0,(ผู้คน - NOUN),(ที่สุด - ADV),11,(คลื่น - NOUN),(เข้า - VERB),7
(เครื่องดื่ม - NOUN),(ยี่ - ADJ),1,(จุด - NOUN),(ที่สุด - ADV),2,(คลื่น - NOUN),(ใกล้ - VERB),8
(เครื่องดื่ม - NOUN),(แทนที่จะ - ADJ),4,(นา - NOUN),(ขึ้น - ADV),18,(วิธี - NOUN),(ด้อม - VERB),0
(ราคา - NOUN),(ยี่ - ADJ),0,(หาน - NOUN),(ขึ้น - ADV),17,(วิธี - NOUN),(เข้า - VERB),4
(ราคา - NOUN),(แทนที่จะ - ADJ),3,(พระอาทิตย์ - NOUN),(ขึ้น - ADV),7,(วิธี - NOUN),(ใกล้ - VERB),5
(บาท - NOUN),(แทนที่จะ - ADJ),0,(มุมมอง - NOUN),(ขึ้น - ADV),2,(คุณ - NOUN),(เข้า - VERB),2
, , ,(วิว - NOUN),(มาก - ADV),3,(คุณ - NOUN),(ใกล้ - VERB),3
, , ,(วิว - NOUN),(ขึ้น - ADV),6,(คุณ - NOUN),(เข้า - VERB),0
, , ,(วิว - NOUN),(ง่าย - ADV),9,(คุณ - NOUN),(ใกล้ - VERB),1
, , ,(วิว - NOUN),(มาก - ADV),10,(คุณ - NOUN),(ว่ายน้ำ - VERB),2
, , ,(ด้านบน - NOUN),(มาก - ADV),1,(คุณ - NOUN),(ลอง - VERB),9
, , ,(ด้านบน - NOUN),(ขึ้น - ADV),4,(รอบ - NOUN),(ลอง - VERB),5
, , ,(ด้านบน - NOUN),(ง่าย - ADV),7,(โง่ - NOUN),(ลอง - VERB),2
, , ,(ด้านบน - NOUN),(มาก - ADV),8,(คุณ - NOUN),(ลอง - VERB),0
, , ,(การ - NOUN),(ขึ้น - ADV),1,(จุด - NOUN),(ชม - VERB),0
, , ,(การ - NOUN),(ง่าย - ADV),4,(จุด - NOUN),(ตก - VERB),2
, , ,(การ - NOUN),(มาก - ADV),5,(จุด - NOUN),(พลาด - VERB),10
, , ,(ปานกลาง - NOUN),(ง่าย - ADV),1,(จุด - NOUN),(อยู่ - VERB),12
, , ,(ปานกลาง - NOUN),(มาก - ADV),2,(พระอาทิตย์ - NOUN),(ตก - VERB),0
, , ,(คุณ - NOUN),(มาก - ADV),2,(พระอาทิตย์ - NOUN),(พลาด - VERB),8
, , ,(คุณ - NOUN),(พอ - ADV),3,(พระอาทิตย์ - NOUN),(อยู่ - VERB),10
, , ,(เวลา - NOUN),(มาก - ADV),0,(ประเทศ - NOUN),(พลาด - VERB),5
, , ,(เวลา - NOUN),(พอ - ADV),1,(ประเทศ - NOUN),(อยู่ - VERB),7
, , ,(เวลา - NOUN),(ขึ้น - ADV),1,(คุณ - NOUN),(พลาด - VERB),2
, , ,(พระอาทิตย์ - NOUN),(ขึ้น - ADV),0,(คุณ - NOUN),(อยู่ - VERB),4
, , ,(ตอน - NOUN),(ด้วย - ADV),1,(คุณ - NOUN),(สวม - VERB),0
, , ,(เที่ยง - NOUN),(ด้วย - ADV),0,(คุณ - NOUN),(เดิน - VERB),2
, , ,(มุมมอง - NOUN),(ที่สุด - ADV),2,(คุณ - NOUN),(ลง - VERB),3
, , ,(คุณ - NOUN),(ที่นี่ - ADV),5,(คุณ - NOUN),(ไป - VERB),4
, , ,(คุณ - NOUN),(ที่นี่ - ADV),2,(คุณ - NOUN),(ใช้ - VERB),8
